er_40_10_4
40
3
4
4
4
-2
4
-4
-4
-4
3
3
4
4
-3
3
4
-3
-4
2
3
4
4
-2
-3
3
-4
-2
2
-3
4
4
2
2
-2
-2
4
2
4
2
-2
0 2 4
0 5 -2
0 20 2
0 23 2
0 24 3
0 26 2
0 34 2
1 4 3
1 8 4
1 11 -2
1 13 2
1 16 2
1 18 4
1 23 4
1 25 -3
1 27 -2
1 35 -3
1 36 -4
1 37 2
1 38 2
1 39 3
2 13 -3
2 19 -3
2 20 2
2 21 3
2 22 -4
2 25 -2
2 27 -3
2 37 3
2 39 3
3 4 -2
3 5 -2
3 6 2
3 8 2
3 13 -4
3 16 3
3 18 3
3 20 2
3 21 2
3 25 3
3 39 -4
4 8 4
4 16 -3
4 19 2
4 23 4
4 31 3
4 35 -2
4 37 -4
5 7 3
5 14 2
5 16 3
5 17 4
5 19 4
5 21 3
5 23 3
5 34 4
5 37 -4
5 39 -2
6 12 3
6 16 -3
6 18 -3
6 25 -2
6 30 2
6 36 -3
6 37 4
6 39 -4
7 8 4
7 11 -2
7 15 2
7 22 2
7 25 4
7 27 2
7 30 -4
8 11 2
8 13 -4
8 15 -2
8 17 -4
8 18 2
8 19 4
8 32 3
8 35 4
8 36 -4
9 14 2
9 15 2
9 17 3
9 19 2
9 20 -2
9 26 2
9 29 2
9 30 -4
9 36 3
10 16 -2
10 18 -2
10 19 -3
10 23 -3
10 34 2
11 13 -3
11 14 -2
11 19 3
11 20 4
11 21 -3
11 27 3
11 28 -4
11 32 -3
11 35 3
12 13 -2
12 15 -2
12 25 -3
12 26 -4
12 36 -3
12 38 4
12 39 4
13 14 -4
13 28 4
13 37 -4
14 15 -2
14 18 4
14 19 4
14 20 3
14 22 2
14 25 4
14 27 4
14 30 -2
14 34 -3
14 35 -4
15 23 4
15 26 -2
15 29 -2
15 32 -4
16 32 2
16 33 4
16 35 -3
17 23 4
17 24 3
17 32 -2
17 33 2
17 34 3
17 37 -2
18 19 -3
18 21 -2
18 23 2
18 25 -3
18 29 -3
18 34 -4
18 35 3
19 24 4
19 28 2
19 29 -2
19 31 -3
19 33 -2
19 35 3
20 22 -3
20 23 3
20 32 2
20 33 -3
21 28 -2
21 39 -2
22 30 4
22 32 -3
22 34 -3
22 39 -2
23 26 -4
23 28 -2
23 30 3
24 25 4
24 26 -3
24 29 -2
25 27 3
25 28 -4
25 31 -4
25 35 -3
26 36 4
27 29 3
28 31 -4
28 32 4
28 33 -2
28 37 2
29 30 4
29 31 -2
29 35 -2
29 36 -4
30 34 -4
30 35 -3
31 32 -2
31 37 -4
33 38 -2
33 39 4
34 37 -3
34 38 4
35 36 -3
37 39 3
-1
-292
