ba_20_10_32
20
12
-23
-3
17
-30
14
13
5
13
2
-13
-3
-17
19
-32
19
-28
-19
19
25
0 1 2
0 2 -11
0 3 -3
0 4 15
0 5 -28
0 6 -4
0 7 20
0 8 16
0 9 8
0 10 -10
0 11 5
0 12 9
0 13 -13
0 14 -18
0 15 6
0 17 30
0 18 -10
1 11 14
1 12 25
1 13 8
1 14 19
1 15 -23
1 19 -22
2 11 -9
2 13 -31
2 14 11
2 15 -11
2 16 -11
2 17 -19
2 18 -10
3 11 -20
3 12 14
3 18 -12
4 11 -17
4 12 16
4 13 -8
4 14 -17
4 17 22
4 18 -23
5 11 24
5 13 27
5 14 14
5 15 -23
6 12 -20
6 16 -20
6 18 18
7 11 -7
7 12 -18
7 13 17
7 15 -19
7 16 13
7 17 -15
7 19 21
8 11 -7
8 12 32
8 15 29
8 16 30
8 17 -26
8 19 -9
9 11 21
9 12 15
9 13 29
9 14 31
9 15 13
9 16 -6
9 17 -8
9 19 -7
10 11 -7
10 12 -14
10 13 18
10 14 29
10 16 10
10 18 -22
10 19 8
11 12 12
11 13 -14
11 14 3
11 15 22
11 16 13
11 17 10
12 13 10
12 14 -14
12 15 20
12 16 18
12 17 32
12 18 9
12 19 -2
13 14 5
13 16 30
13 17 2
13 18 -10
13 19 8
14 15 8
14 16 32
14 17 29
14 18 -11
14 19 29
16 18 18
16 19 -15
18 19 21
-1
-868
