ba_20_4_16
20
16
5
13
-4
-4
-15
-2
5
10
6
3
-9
-6
15
-4
-9
-12
13
9
10
0 1 2
0 2 -10
0 3 13
0 4 10
0 5 -5
0 6 -15
0 7 -9
0 8 -10
0 10 8
0 11 15
0 13 -10
0 14 4
1 5 7
1 7 7
1 12 -5
1 14 -15
1 17 12
1 19 9
2 5 -2
2 6 -3
2 9 4
2 10 -13
2 13 -7
2 15 -4
2 19 -8
3 5 14
3 6 -16
3 7 -4
3 8 16
3 9 16
3 12 13
3 16 16
3 17 5
3 18 2
4 11 15
5 6 2
5 7 -14
5 8 -4
5 11 -6
5 12 -7
5 13 7
5 14 13
5 16 -3
5 19 14
6 8 12
7 9 10
7 10 7
7 12 10
8 9 3
8 10 -3
8 11 -10
8 15 13
8 16 12
8 17 -8
8 18 15
10 16 14
11 13 11
11 14 4
11 15 -13
11 17 6
11 19 -10
14 15 13
14 18 11
15 18 3
-1
-386
