ba_60_6_32
60
-7
-8
25
12
-22
25
8
9
31
-25
19
-28
-16
17
-21
-14
-5
7
-22
-2
-30
-19
19
10
3
-24
16
3
23
20
-24
-32
20
29
-26
12
28
-7
-2
-11
5
-15
4
-16
12
3
-19
-19
-11
5
-7
23
19
8
12
-11
31
-14
4
-14
0 1 2
0 2 -28
0 3 -24
0 4 -27
0 5 -20
0 6 -22
0 7 -28
0 8 -16
0 9 -4
0 10 -28
0 11 -31
0 12 19
0 13 7
0 14 31
0 16 28
0 19 17
0 20 29
0 23 -30
0 25 -3
0 29 13
0 31 -27
0 34 25
0 35 27
0 36 28
0 37 24
0 39 13
0 43 -10
0 46 20
0 49 12
0 53 29
0 55 -21
0 56 13
0 57 -11
1 7 -4
1 8 22
1 9 -32
1 10 17
1 12 3
1 13 -31
1 14 11
1 16 -30
1 24 10
1 28 -15
1 33 -2
1 44 -17
1 48 25
1 59 29
2 11 -30
2 12 5
2 40 10
2 41 -14
2 59 29
3 7 -20
3 25 13
3 32 5
4 7 -30
4 8 -2
4 9 23
4 10 -15
4 13 -17
4 14 -20
4 18 -14
4 30 9
4 32 23
4 40 11
4 47 -18
4 48 26
5 7 -22
5 8 -10
5 10 -32
5 15 -7
5 19 15
5 45 5
6 7 -12
6 8 20
6 9 -26
6 10 12
6 12 26
6 13 -6
6 14 -19
6 15 9
6 16 4
6 17 19
6 21 -31
6 26 4
6 35 7
6 37 -2
6 45 10
6 46 -24
6 48 16
6 52 2
6 56 19
7 8 32
7 9 27
7 11 27
7 12 13
7 13 -13
7 15 -11
7 17 -3
7 18 8
7 20 -5
7 21 -19
7 22 30
7 24 -9
7 32 -10
7 42 9
7 43 14
7 49 -30
8 9 31
8 11 -25
8 12 -10
8 13 19
8 15 4
8 17 4
8 18 10
8 23 -6
8 26 30
8 28 23
8 33 26
8 40 18
8 41 -15
8 42 21
8 47 -6
8 48 25
8 49 -3
8 53 -26
8 54 -19
9 10 -4
9 11 20
9 17 -30
9 18 -11
9 19 -2
9 20 -7
9 24 -10
9 25 16
9 27 -30
9 28 20
9 29 -5
9 42 -13
9 46 -32
9 47 -17
10 11 5
10 17 11
10 19 -12
10 21 16
10 22 24
10 23 15
10 24 -5
10 26 28
10 29 11
10 30 4
10 31 -23
10 35 -29
10 39 16
10 41 29
10 44 29
10 45 24
10 49 -14
10 50 -11
10 56 -16
10 58 -5
11 15 -9
11 16 2
11 18 27
11 20 -6
11 22 25
11 30 23
11 35 16
11 38 -15
11 42 -5
11 45 -18
11 47 -16
11 53 26
12 14 -15
12 15 13
12 16 -24
12 20 18
12 21 10
12 22 -9
12 31 9
12 32 -28
12 38 17
12 39 -22
12 49 -29
12 50 -28
12 51 3
12 56 -5
12 58 13
13 14 9
13 19 28
13 20 -4
13 27 25
13 28 15
13 30 -21
13 33 8
13 34 28
13 37 -24
13 42 -15
13 49 27
13 52 29
13 54 21
13 57 9
14 17 -27
14 27 -11
14 28 11
14 29 -10
14 52 -27
14 55 -21
14 58 -24
15 16 -16
15 18 7
15 21 -28
15 23 13
15 32 8
15 37 16
15 40 -18
15 44 -14
15 45 24
15 53 -31
15 55 13
16 19 27
16 21 29
16 23 9
16 30 -20
16 32 -15
16 37 -8
17 22 14
17 24 12
17 29 -5
17 35 19
17 36 -17
17 43 -22
17 46 -20
18 31 19
18 34 20
18 36 24
18 38 21
18 42 10
18 56 -11
19 25 -3
19 26 18
19 29 15
19 30 -4
19 33 10
19 52 -9
19 58 -13
20 22 7
20 36 9
20 39 -15
20 43 -13
20 51 -2
20 54 -6
21 44 29
22 23 -17
22 24 8
22 25 15
22 26 15
22 27 26
22 31 2
22 33 -20
22 34 -22
22 38 -5
22 41 -12
22 50 -12
22 59 -11
23 25 31
23 26 -27
23 27 -4
23 31 14
23 54 7
24 27 -28
24 36 -22
24 51 -15
24 57 -10
25 46 28
25 47 -25
26 39 -2
26 41 -6
26 45 18
26 59 -30
27 28 31
27 38 -16
27 47 13
29 35 -14
29 36 2
29 44 19
30 46 -13
31 33 5
31 40 -3
31 50 -11
31 51 -5
31 53 -20
31 59 -28
32 34 27
32 54 -20
32 58 11
33 34 -4
33 37 24
33 55 -31
34 38 -11
34 40 17
36 41 26
36 43 -8
36 50 22
36 55 22
36 59 2
37 58 -18
38 39 -9
38 54 -4
39 52 11
39 56 -2
40 44 12
40 48 -16
41 57 11
42 43 11
42 55 -27
42 57 -28
43 51 17
43 53 -14
44 52 32
44 57 -9
46 48 -4
46 50 3
49 51 32
-1
-2645
