ba_20_12_8
20
-3
2
6
5
8
4
-4
-8
-2
-3
-8
5
5
7
-4
-6
3
3
8
7
0 1 2
0 2 -8
0 3 -4
0 4 6
0 5 3
0 6 -5
0 7 -5
0 8 -2
0 9 4
0 10 -6
0 11 6
0 12 8
0 13 7
0 14 -7
0 15 -4
0 16 7
0 17 2
0 18 -7
0 19 -5
1 13 -5
1 14 -3
1 17 -3
1 18 -6
2 13 -3
2 14 2
2 15 2
2 16 -3
2 17 -3
2 19 6
3 13 4
3 14 -6
3 15 7
3 17 6
3 18 7
3 19 3
4 14 4
4 16 -2
4 18 -4
5 13 6
5 14 7
5 15 5
5 16 -3
5 17 -4
5 18 -5
6 13 6
6 14 8
6 15 -7
6 16 4
6 17 8
6 18 7
6 19 -6
7 13 3
7 14 4
7 19 8
8 13 -2
8 14 -7
8 15 -5
8 16 -5
8 18 3
9 13 -3
9 15 -6
9 16 -3
10 13 2
10 14 5
10 15 4
10 18 -2
10 19 -5
11 13 -2
11 14 5
11 15 -3
11 16 4
11 17 -3
11 19 -8
12 13 -6
12 15 -2
12 16 2
12 17 -7
12 19 -6
13 14 2
13 15 2
13 16 -2
13 17 8
13 18 -2
13 19 4
14 15 -7
14 16 2
14 17 -5
14 18 6
14 19 -2
15 16 6
15 17 7
15 18 -6
15 19 -8
16 17 -5
17 18 -7
18 19 -4
-1
-272
